,S&P 500 COMPOSITE - PRICE INDEX,cmdty BLS Commodity Price Ind 'DEAD' - PRICE INDEX,Gold Bullion LBM $/t oz DELAY,Crude Oil-WTI Spot Cushing U$/BBL,US INITIAL CLAIMS FOR UNEMPLOYMENT INSURANCE (BCI 5) VOLA,US NAHB MARKET SURVEY: NEW SINGLE FAMILY HOME SALES-CURRENTLY,US CONSUMER CONFIDENCE INDEX SADJ,US CONSUMER CONFIDENCE INDEX - EXPECTATIONS SADJ,US CONSUMER CONFIDENCE INDEX - PRESENT SITUATION SADJ,US CONSUMER CONFIDENCE CURRENTLY - JOBS PLENTIFUL SADJ,US CONSUMER CONFIDENCE CURRENTLY - JOBS HARD TO FIND SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS - PLANS TO BUY AUTO SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS - INCOME DECREASED SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS - INCOME INCREASED SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS - JOBS FEWER SADJ,US CONSUMER CONFIDENCE CURRENTLY - JOBS NOT SO PLENTIFUL SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS - JOBS MORE SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS - PLANS TO BUY ANY HOME SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS - PLANS TO BUY HOME SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS-PLANS TO BUY LIVED IN HOME,US CONSUMER CONFIDENCE IN 6 MONTHS-PLANS TO BUY MAJOR APPL( SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS - PLANS TO BUY NEW AUTO SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS - PLANS TO BUY NEW HOME SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS - PLANS TO BUY USED AUTO SADJ,US CONSUMER CONFIDENCE CURRENTLY - BUSINESS CONDITIONS BAD SADJ,US CONSUMER CONFIDENCE CURRENTLY - BUSINESS CONDITIONS GOOD SADJ,US CONSUMER CONFIDENCE CURRENTLY-BUSINESS CONDITIONS NORMAL SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS - INCOME SAME SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS-BUSINESS CONDITIONS BETTER,US CONSUMER CONFIDENCE IN 6 MONTHS-BUSINESS CONDITIONS SAME SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS-BUSINESS CONDITIONS WORSE,US CONSUMER CONFIDENCE IN 6 MONTHS - JOBS SAME SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS-PLANS TO BUY AIR CONDITIONER,US CONSUMER CONFIDENCE IN 6 MONTHS-PLANS TO BUY AUTO UNCERTAIN,US CONSUMER CONFIDENCE IN 6 MONTHS - PLANS TO BUY CARPET SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS-PLANS TO BUY CLOTHES DRYER,US CONSUMER CONFIDENCE IN 6 MONTHS - PLANS TO BUY RANGE SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS-PLANS TO BUY REFRIGERATOR,US CONSUMER CONFIDENCE IN 6 MONTHS - PLANS TO BUY TV SET SADJ,US CONSUMER CONFIDENCE IN 6 MONTHS-PLANS TO BUY VACUUM CLEANER,US CONSUMER CONFIDENCE IN 6 MONTHS-PLANS TO BUY WASHING MACHINE,US NATIONAL ASSOCIATION OF HOME BUILDERS HOUSING MARKET INDEX,US NAHB MARKET SURVEY: NEW SINGLE FAMILY HOME SALES-IN NEXT 6 MO,US NAHB MARKET SURVEY: TRAFFIC OF PROSPECTIVE NEW HOME BUYERS,US ISM PURCHASING MANAGERS INDEX (MFG SURVEY) SADJ,US ISM MANUFACTURERS SURVEY: NEW ORDERS INDEX SADJ,US ISM MANUFACTURERS SURVEY RESULTS: PRICES PAID - SAME VOLN,US ISM MANUFACTURERS SURVEY: PRODUCTION INDEX SADJ,US ISM MANUFACTURERS SURVEY: EMPLOYMENT INDEX SADJ
2004-02-15,1144.94,301.39,395.25,36.18,360.8,72.0,88.5,91.9,83.3,14.5,28.9,7.2,8.4,17.1,18.8,56.6,16.4,1.1,3.8,1.4,27.5,2.9,1.3,3.2,23.2,19.3,57.5,74.5,19.5,70.9,9.6,64.8,1.9,1.1,4.7,3.2,2.6,3.9,7.4,4.8,3.7,66.0,75.0,47.0,59.9,66.5,33.0,65.6,55.7
2004-03-15,1126.21,305.43,425.25,35.78,342.0,73.0,88.5,91.3,84.4,14.7,29.9,5.4,10.1,18.0,17.3,55.4,15.7,1.0,4.2,1.8,29.0,2.3,1.4,2.4,23.1,20.7,56.2,71.9,19.5,70.8,9.7,67.0,1.8,0.7,5.2,3.7,3.4,4.6,6.7,5.2,3.6,66.0,74.0,49.0,60.6,64.6,26.0,66.8,57.0
2004-04-15,1107.3,304.98,387.75,37.38,345.5,76.0,93.0,94.8,90.4,15.6,28.0,6.6,9.6,17.4,17.7,56.4,18.3,0.8,3.6,2.0,31.2,3.3,0.8,2.5,21.7,21.7,56.6,73.0,20.8,69.9,9.3,64.0,2.4,0.8,4.8,3.9,3.7,4.8,7.7,5.2,3.5,69.0,76.0,50.0,60.6,67.1,22.0,66.6,57.2
2004-05-15,1120.68,299.67,393.75,39.9,339.3,75.0,93.1,94.8,90.5,16.6,30.3,6.4,10.2,17.1,17.3,53.1,18.7,1.2,4.1,1.7,33.0,2.8,1.2,2.6,21.6,22.2,56.2,72.7,22.8,67.1,10.1,64.0,2.2,1.0,5.9,4.2,2.8,5.4,7.9,6.2,4.3,69.0,76.0,53.0,61.4,64.5,24.0,65.3,60.1
2004-06-15,1140.84,291.16,395.0,37.05,341.8,74.0,102.8,100.8,105.9,18.3,26.2,6.4,8.6,19.7,16.8,55.5,19.9,1.1,3.6,1.5,34.3,3.0,1.0,2.8,17.4,25.8,56.8,71.7,23.5,67.4,9.1,63.3,2.0,0.6,6.5,5.1,3.7,5.5,7.9,5.4,4.7,68.0,75.0,52.0,60.5,60.9,30.0,63.7,59.4
2004-07-15,1101.72,290.18,390.15,43.8,347.3,74.0,105.7,105.3,106.4,19.7,25.7,6.8,8.5,18.0,13.5,54.6,19.5,1.1,4.1,2.1,30.4,3.3,0.9,2.5,19.1,25.2,55.7,73.5,23.0,69.9,7.1,67.0,2.0,1.0,6.0,3.8,3.2,4.1,7.4,5.4,4.5,67.0,74.0,49.0,59.9,62.8,38.0,63.8,57.4
2004-08-15,1104.24,297.29,410.22,42.12,340.8,76.0,98.7,97.3,100.7,18.4,26.0,6.5,9.2,19.7,15.1,55.6,16.3,0.9,3.9,1.7,29.0,2.9,1.3,2.5,20.2,23.0,56.8,71.1,20.2,71.0,8.8,68.6,1.8,1.1,5.4,3.4,3.0,4.2,7.5,5.5,3.6,70.0,78.0,53.0,58.5,62.1,29.0,59.3,56.4
2004-09-15,1114.58,294.98,418.0,49.65,339.5,73.0,96.7,97.7,95.3,16.6,28.0,6.3,9.2,20.0,16.2,55.4,17.8,0.9,3.9,2.0,29.8,2.6,1.0,2.5,20.4,23.4,56.2,70.8,21.6,69.0,9.4,66.0,2.3,1.2,5.3,3.0,3.4,5.1,6.6,5.8,3.6,67.0,75.0,51.0,57.4,57.7,42.0,59.8,58.0
2004-10-15,1130.2,290.02,426.25,51.77,333.8,76.0,92.9,92.2,94.0,17.4,27.9,7.6,9.5,19.0,18.3,54.7,16.7,1.3,3.6,1.4,27.8,3.2,0.9,3.2,21.4,21.6,57.0,71.5,20.7,68.8,10.5,65.0,1.4,1.2,5.0,3.1,3.2,4.3,7.5,4.5,3.8,69.0,79.0,51.0,56.3,58.4,35.0,59.3,55.5
2004-11-15,1173.82,303.2,448.97,49.14,328.8,77.0,92.6,90.2,96.3,17.1,28.0,4.6,10.6,19.2,19.3,54.9,17.6,0.6,2.6,1.3,25.3,2.1,0.7,1.8,20.2,23.2,56.6,70.2,20.3,68.3,11.4,63.1,1.3,0.7,4.0,2.6,2.6,4.2,6.4,4.7,3.5,70.0,78.0,51.0,56.2,60.1,38.0,57.3,56.9
2004-12-15,1211.92,292.97,438.1,43.46,328.5,78.0,102.7,100.7,105.7,19.4,26.4,6.6,8.5,21.0,15.3,54.2,16.4,1.2,3.5,1.2,30.1,3.2,1.1,2.4,17.8,24.4,57.8,70.5,22.4,69.9,7.7,68.3,1.6,1.0,5.2,3.7,3.2,4.1,8.2,5.3,4.0,71.0,80.0,52.0,57.2,66.3,40.0,57.9,53.8
2005-01-15,1181.27,289.72,421.4,48.21,340.3,77.0,105.1,100.4,112.1,21.0,24.3,7.2,8.1,19.0,15.1,54.7,16.6,1.0,3.5,1.6,28.3,2.4,0.9,4.0,18.1,26.1,55.8,72.9,22.0,70.2,7.8,68.3,1.7,0.8,6.1,2.9,2.8,5.2,7.2,5.5,3.0,70.0,78.0,50.0,56.8,57.9,48.0,59.3,58.6
2005-02-15,1203.6,295.98,437.02,51.76,311.8,76.0,104.4,96.1,116.8,21.1,22.4,7.2,7.3,18.7,16.5,56.5,15.0,1.0,4.1,1.8,28.2,3.0,1.3,3.1,15.7,24.6,59.7,74.0,17.9,74.3,7.8,68.5,1.6,1.1,4.3,3.5,2.7,4.4,7.2,5.0,3.8,69.0,79.0,50.0,55.5,55.9,55.0,58.2,56.0
2005-03-15,1180.59,298.11,427.65,55.41,332.5,76.0,103.0,93.7,117.0,21.8,23.8,5.7,9.6,17.2,15.8,54.4,15.1,0.7,3.8,1.7,30.8,3.0,1.4,1.9,15.8,26.3,57.9,73.2,19.3,72.5,8.2,69.1,1.3,0.8,5.3,3.9,3.0,5.3,7.5,5.5,4.3,70.0,79.0,52.0,55.2,57.7,44.0,57.5,52.5
2005-04-15,1156.85,302.08,436.45,49.73,320.3,73.0,97.5,86.7,113.8,20.4,22.9,5.8,9.7,16.8,18.4,56.7,14.0,1.5,4.1,1.5,32.6,2.8,1.1,2.4,17.6,26.4,56.0,73.5,17.7,72.4,9.9,67.6,1.9,0.6,5.3,4.5,4.4,4.7,7.5,5.9,3.7,67.0,76.0,50.0,52.2,53.4,38.0,54.2,53.0
2005-05-15,1191.5,296.45,416.05,51.98,327.0,76.0,103.1,93.4,117.8,22.9,24.1,7.8,8.6,17.8,16.0,53.0,15.2,0.7,3.5,1.4,33.1,4.1,1.4,2.6,16.4,26.7,56.9,73.6,19.0,71.5,9.5,68.8,1.5,1.1,5.9,3.7,3.4,5.3,8.7,6.4,4.1,70.0,77.0,53.0,50.8,51.8,52.0,54.7,49.3
2005-06-15,1191.33,294.15,438.65,56.5,323.0,77.0,106.2,96.4,120.8,22.5,22.5,6.6,7.5,19.9,16.4,55.0,15.4,0.9,3.6,1.7,32.4,2.8,1.0,3.1,15.3,26.7,58.0,72.6,19.5,71.5,9.0,68.2,2.0,0.7,4.8,4.4,3.1,4.8,8.3,5.5,4.3,72.0,80.0,55.0,52.4,55.7,57.0,55.1,51.1
2005-07-15,1234.18,292.09,429.8,60.57,323.8,76.0,103.6,93.2,119.3,22.9,23.8,7.6,8.4,18.6,16.7,53.3,15.6,0.9,3.8,1.7,31.7,3.0,1.2,3.3,16.7,28.7,54.6,73.0,17.9,72.6,9.5,67.7,2.1,1.3,5.8,3.4,3.8,5.1,7.0,6.4,3.9,70.0,77.0,55.0,52.8,57.2,49.0,57.4,53.2
2005-08-15,1220.33,292.31,433.4,68.95,315.8,73.0,105.5,93.3,123.8,23.6,23.1,6.2,8.9,19.7,17.3,53.3,16.4,0.9,3.5,1.4,29.7,3.2,1.2,3.1,15.1,29.7,55.2,71.4,18.7,71.3,10.0,66.3,2.4,0.0,4.8,3.8,2.7,4.4,7.1,5.7,3.6,67.0,77.0,50.0,52.4,57.8,53.0,55.6,51.8
2005-09-15,1228.81,296.82,470.85,66.25,397.3,72.0,87.5,72.3,110.4,20.7,25.0,5.8,10.7,18.1,24.8,54.3,14.0,0.7,3.4,1.9,28.4,2.8,0.8,2.6,17.8,25.2,57.0,71.2,15.4,65.0,19.6,61.2,2.0,0.4,5.1,3.3,2.6,4.1,7.7,5.2,3.5,65.0,70.0,49.0,56.8,60.9,36.0,62.4,53.4
2005-10-15,1207.01,297.85,465.7,59.77,344.3,74.0,85.2,70.1,107.8,20.7,25.3,6.4,10.6,17.4,24.0,54.0,12.3,1.0,2.8,0.9,25.0,2.6,0.9,3.0,18.4,23.3,58.3,72.0,14.1,67.4,18.5,63.7,1.7,0.8,5.1,2.5,2.5,4.0,7.0,3.7,3.6,68.0,73.0,51.0,57.2,61.4,28.0,62.1,54.3
2005-11-15,1249.48,294.28,495.2,57.33,316.3,67.0,98.3,88.4,113.2,21.1,23.6,5.0,9.8,21.3,18.1,55.3,14.1,0.7,3.0,1.5,30.5,2.7,0.8,1.8,17.9,25.6,56.5,68.9,19.0,69.5,11.5,67.8,2.7,0.5,4.5,3.9,3.3,4.2,7.4,4.8,4.2,61.0,65.0,46.0,56.7,61.2,42.0,62.4,56.0
2005-12-15,1248.29,303.01,512.55,61.04,315.3,64.0,103.8,92.6,120.7,23.3,22.5,6.1,8.7,21.3,17.7,54.2,14.4,1.0,2.8,0.9,32.1,2.8,0.9,2.3,14.9,24.4,60.7,70.0,18.4,72.5,9.1,67.9,1.6,1.0,5.8,3.9,3.6,4.6,8.4,5.7,4.3,57.0,65.0,40.0,55.1,60.1,52.0,60.3,53.7
2006-01-15,1280.08,310.71,569.85,67.93,295.8,62.0,106.8,92.1,128.8,27.0,20.3,6.7,8.2,19.9,15.2,52.7,13.6,0.9,3.0,1.2,33.0,2.9,0.9,3.0,15.9,25.9,58.2,71.9,17.9,71.6,10.5,71.2,1.7,0.8,6.1,3.6,3.5,6.0,8.4,5.4,4.4,57.0,66.0,41.0,55.0,58.9,54.0,59.7,53.1
2006-02-15,1280.66,311.0,559.75,61.42,294.0,61.0,102.7,84.2,130.3,27.4,20.2,7.1,9.4,18.8,19.9,52.4,13.4,0.8,3.4,1.4,32.7,3.3,1.2,3.0,15.4,26.4,58.2,71.8,16.2,72.9,10.9,66.7,2.4,0.8,4.6,4.0,2.9,4.6,9.4,5.0,4.4,56.0,64.0,40.0,55.8,61.0,53.0,57.9,53.5
2006-03-15,1294.83,313.17,583.55,66.66,299.0,59.0,107.5,90.3,133.3,28.3,20.4,5.8,9.3,19.3,16.4,51.3,13.7,0.7,4.1,1.9,33.8,2.5,1.5,2.5,14.7,27.9,57.4,71.4,17.8,72.4,9.8,69.9,1.9,0.8,5.4,3.9,3.6,5.9,8.5,6.0,4.0,54.0,62.0,40.0,54.3,57.0,49.0,57.0,53.8
2006-04-15,1310.61,327.39,650.3,71.89,306.8,55.0,109.8,92.3,136.2,29.4,19.7,6.8,9.1,18.0,16.3,50.9,15.4,0.8,3.1,1.6,30.4,3.4,0.7,2.7,15.1,29.7,55.2,72.9,17.3,73.4,9.3,68.3,2.1,0.7,4.7,3.7,3.3,4.9,7.6,5.0,3.8,51.0,59.0,39.0,55.2,55.7,37.0,57.1,54.2
2006-05-15,1270.09,331.8,647.1,71.29,332.8,50.0,104.7,85.1,134.1,29.1,20.2,6.3,9.1,17.0,18.0,50.7,14.8,0.8,2.9,1.4,33.6,2.8,0.7,2.4,15.2,28.5,56.3,73.9,16.5,70.6,12.9,67.2,2.0,1.1,5.0,4.0,3.2,5.0,8.9,6.3,4.2,46.0,55.0,33.0,53.7,54.9,42.0,56.0,53.2
2006-06-15,1270.2,337.07,613.15,73.98,307.8,47.0,105.4,87.5,132.2,28.0,20.0,5.5,9.8,17.8,17.3,52.0,15.6,1.1,3.2,1.5,30.7,2.6,0.6,2.4,15.0,26.6,58.4,72.4,16.8,71.3,11.9,67.1,2.0,0.5,4.5,3.5,3.0,4.2,8.5,5.5,4.0,42.0,51.0,29.0,52.0,55.0,39.0,53.4,49.9
2006-07-15,1276.66,338.41,632.65,74.41,319.5,43.0,107.0,88.9,134.2,28.6,19.6,6.9,8.5,18.3,16.5,51.8,14.3,1.4,3.8,1.9,28.8,3.1,0.5,2.6,15.0,27.3,57.7,73.2,16.1,73.0,10.9,69.2,1.8,1.2,4.9,3.8,2.3,4.3,7.4,5.0,4.2,39.0,46.0,27.0,53.0,55.8,39.0,56.9,50.7
2006-08-15,1303.82,342.88,624.15,70.27,313.5,37.0,100.2,84.4,123.9,24.5,21.1,6.9,9.1,17.9,18.1,54.4,14.2,0.9,3.8,1.7,33.9,3.5,1.2,2.7,16.6,26.2,57.2,73.0,16.2,70.9,12.9,67.7,3.0,0.7,4.9,4.0,2.7,5.2,8.2,6.4,4.4,33.0,41.0,22.0,53.7,55.3,46.0,55.2,52.6
2006-09-15,1335.85,344.05,596.4,62.92,316.5,32.0,105.9,91.0,128.3,26.2,20.9,6.0,8.8,20.2,16.5,52.9,14.7,0.9,2.9,1.0,27.5,2.9,1.0,2.1,15.6,27.3,57.1,71.0,16.5,73.2,10.3,68.8,1.4,1.0,4.5,3.0,2.8,4.1,7.4,5.5,3.3,30.0,37.0,22.0,52.2,54.8,50.0,56.2,49.9
2006-10-15,1377.94,351.61,605.4,58.74,315.5,32.0,105.1,91.9,125.1,25.6,21.8,6.2,8.5,20.0,18.0,52.6,15.1,1.0,3.1,1.5,28.5,2.9,0.6,2.2,16.8,27.9,55.3,71.5,18.5,71.5,10.0,66.9,1.3,1.1,4.3,3.1,3.4,4.4,8.0,4.7,3.6,31.0,42.0,23.0,51.4,54.1,58.0,54.3,49.6
2006-11-15,1400.63,360.05,647.6,63.14,328.3,33.0,105.3,91.9,125.4,25.7,22.1,5.2,9.1,22.0,16.1,52.2,13.3,0.6,3.2,1.5,29.8,2.3,1.1,2.3,16.2,27.5,56.3,68.9,16.0,75.5,8.5,70.6,2.3,0.6,4.5,3.4,2.6,4.2,8.5,5.2,3.6,33.0,45.0,26.0,50.3,50.8,61.0,50.7,49.2
2006-12-15,1418.3,362.35,634.5,61.06,323.3,33.0,110.0,96.3,130.5,27.6,21.3,5.4,7.3,21.4,15.5,51.1,13.9,0.7,2.9,1.7,27.8,2.6,0.5,2.1,14.9,27.4,57.7,71.3,16.7,75.5,7.8,70.6,1.3,0.7,4.7,2.9,2.5,3.5,9.5,4.5,3.6,33.0,49.0,23.0,51.4,51.4,57.0,52.7,49.8
2007-01-15,1438.24,361.13,652.77,58.15,317.3,36.0,110.2,94.4,133.9,29.6,19.7,6.3,7.6,20.0,15.6,50.7,13.8,1.0,3.3,1.1,29.6,3.0,1.2,2.2,16.2,28.0,55.8,72.4,16.3,75.7,8.0,70.6,1.7,1.1,5.0,3.3,3.3,5.0,7.6,5.3,3.4,35.0,48.0,26.0,50.4,55.5,61.0,49.0,52.1
2007-02-15,1406.82,371.99,669.17,61.8,325.3,40.0,111.2,93.8,137.1,27.8,17.9,5.5,8.3,19.2,14.2,54.3,13.3,1.2,3.4,1.1,32.1,2.4,1.1,2.3,14.8,28.7,56.5,72.5,15.9,75.9,8.2,72.5,2.2,0.8,4.7,3.4,3.0,5.0,8.1,5.3,5.1,39.0,53.0,29.0,54.1,59.1,50.0,54.1,54.7
2007-03-15,1420.86,386.91,663.85,65.88,306.8,36.0,108.2,87.9,138.5,30.3,18.9,5.4,8.0,18.0,16.0,50.8,12.7,0.9,3.2,1.5,32.7,2.7,0.8,2.3,14.5,28.6,56.9,74.0,14.5,75.7,9.8,71.3,1.8,0.4,4.3,3.4,2.9,5.1,9.2,6.6,3.7,36.0,50.0,28.0,52.8,56.0,60.0,54.3,52.8
2007-04-15,1482.37,390.91,680.75,65.71,320.3,33.0,106.3,88.2,133.5,29.0,20.3,6.2,8.6,18.4,15.6,50.7,13.2,0.7,3.0,1.5,31.4,3.2,0.8,2.1,14.9,27.5,57.6,73.0,13.8,76.5,9.7,71.2,2.2,0.9,4.7,4.0,2.9,4.3,8.9,5.0,4.1,33.0,44.0,27.0,52.7,57.1,46.0,55.9,52.7
2007-05-15,1530.62,400.66,662.05,64.02,307.5,31.0,108.5,90.1,136.1,29.1,19.7,5.9,7.8,18.5,15.6,51.2,13.6,0.8,2.8,1.2,34.7,3.7,0.8,1.5,14.6,29.0,56.4,73.7,15.3,74.5,10.2,70.8,2.4,0.7,4.7,4.1,3.2,5.1,8.7,6.7,4.5,30.0,41.0,22.0,53.1,57.0,51.0,59.0,51.1
2007-06-15,1503.35,405.2,650.45,70.69,315.8,29.0,105.3,88.8,129.9,27.6,20.5,6.0,8.5,19.4,17.0,51.9,14.0,0.8,2.9,1.3,35.3,3.2,0.8,2.2,16.1,27.3,56.6,72.1,16.2,73.0,10.8,69.0,2.1,0.6,4.6,4.2,3.1,5.1,10.4,5.8,4.6,28.0,39.0,22.0,54.0,58.4,51.0,59.3,55.7
2007-07-15,1455.27,411.7,664.65,78.22,313.3,24.0,111.9,94.4,138.3,30.0,18.7,7.3,7.2,19.2,14.9,51.3,13.8,0.6,3.3,2.1,31.4,3.1,0.6,3.2,14.5,28.3,57.2,73.6,15.1,76.7,8.2,71.3,1.8,1.0,6.0,3.5,3.5,4.2,9.1,4.8,4.5,24.0,34.0,19.0,51.8,57.5,53.0,54.3,50.4
2007-08-15,1473.99,405.17,672.6,74.05,320.0,22.0,105.6,89.2,130.1,27.5,19.7,6.3,8.5,19.8,15.2,52.8,12.9,0.8,3.6,1.8,29.7,3.2,1.0,2.5,16.3,26.2,57.5,71.7,15.0,74.8,10.2,71.9,2.2,0.6,4.5,3.6,2.1,4.1,8.2,5.8,3.7,22.0,31.0,16.0,52.2,56.1,59.0,55.2,50.7
2007-09-15,1526.75,417.74,743.5,81.67,313.3,20.0,99.5,85.0,121.2,25.6,22.4,5.3,8.8,20.0,18.7,52.0,13.4,0.9,3.0,1.3,29.8,2.8,0.8,1.8,17.8,25.7,56.5,71.2,15.7,72.4,11.9,67.9,2.0,0.7,4.7,2.6,3.0,4.6,8.9,5.6,3.1,20.0,26.0,17.0,53.8,59.4,53.0,60.8,53.9
2007-10-15,1549.38,416.28,790.6,94.54,328.3,18.0,95.2,80.0,118.0,24.1,22.8,6.6,9.1,19.9,20.2,53.1,13.3,0.8,2.7,1.2,26.3,3.4,0.7,2.3,16.6,23.2,60.2,71.0,14.0,72.1,13.9,66.5,1.4,0.9,4.7,2.4,3.1,4.2,8.0,3.7,3.5,19.0,26.0,15.0,52.8,55.8,60.0,52.3,53.5
2007-11-15,1481.14,413.63,782.65,88.72,340.3,18.0,87.8,69.1,115.7,23.3,21.4,4.8,10.9,19.4,22.8,55.3,10.6,0.7,2.6,1.2,30.0,2.1,0.7,1.8,18.9,22.5,58.6,69.7,12.4,71.0,16.6,66.6,2.0,0.9,3.4,3.6,2.3,4.0,9.2,5.0,3.9,19.0,24.0,17.0,51.5,53.1,46.0,52.3,53.2
2007-12-15,1468.35,413.4,836.15,96.01,349.3,19.0,90.6,75.8,112.9,23.6,22.7,6.3,10.4,20.2,19.9,53.7,10.9,0.7,2.5,1.3,28.1,2.8,0.5,2.4,18.8,21.2,60.0,69.4,13.8,72.1,14.1,69.2,1.8,1.1,4.1,3.0,2.4,3.9,8.9,4.7,3.4,18.0,26.0,13.0,50.1,49.9,51.0,52.0,51.1
2008-01-15,1378.55,433.05,923.05,91.76,339.8,19.0,87.3,69.3,114.3,23.8,20.6,6.7,9.8,18.1,21.9,55.6,10.5,0.6,2.5,1.2,30.6,3.0,0.7,3.2,20.1,20.6,59.3,72.1,11.5,72.2,16.3,67.6,1.7,0.5,5.0,3.4,2.8,5.0,9.7,4.1,3.9,19.0,28.0,14.0,50.9,49.5,40.0,50.7,49.6
2008-02-15,1330.63,473.62,970.77,101.85,345.5,20.0,76.4,58.0,104.0,21.5,23.4,5.4,10.6,18.0,28.0,55.1,8.9,0.7,2.9,1.5,32.1,2.2,0.7,2.2,21.3,19.1,59.6,71.4,9.7,68.7,21.6,63.1,2.0,1.0,4.4,3.1,3.4,4.9,11.0,4.4,3.3,20.0,27.0,19.0,48.8,50.5,42.0,49.4,47.3
2008-03-15,1322.7,454.04,932.4,101.59,368.0,20.0,65.9,49.4,90.6,19.2,24.5,5.4,13.7,16.1,29.3,56.3,8.0,0.8,3.4,1.7,30.1,2.6,0.9,2.2,25.5,15.6,58.9,70.2,8.6,65.4,26.0,62.7,1.0,0.6,3.9,3.1,2.3,4.2,11.1,4.8,3.6,20.0,26.0,19.0,49.7,49.2,32.0,48.9,52.2
2008-04-15,1385.59,478.6,869.85,113.46,363.5,18.0,62.8,50.0,81.9,17.1,27.9,5.8,13.5,15.5,32.9,55.0,8.8,0.5,2.5,1.3,32.1,2.6,0.7,2.4,26.5,15.4,58.1,71.0,10.1,62.5,27.4,58.3,1.7,0.8,4.0,3.8,2.8,4.1,11.4,4.7,3.6,20.0,30.0,19.0,48.5,46.2,28.0,49.0,45.4
2008-05-15,1400.38,465.7,888.3,127.36,366.0,17.0,58.1,47.3,74.2,16.1,28.3,5.1,14.6,14.1,32.3,55.6,9.0,0.6,2.4,1.3,33.6,2.2,0.5,2.1,29.7,13.0,57.3,71.3,10.6,56.5,32.9,58.7,1.5,0.8,4.5,3.3,2.9,4.6,12.6,5.0,3.7,19.0,28.0,18.0,48.9,47.9,16.0,50.6,45.0
2008-06-15,1280.0,487.86,922.6,140.0,383.3,17.0,51.0,41.4,65.4,14.1,29.7,5.1,15.9,13.1,35.7,56.2,8.0,0.5,2.4,1.4,28.3,2.2,0.5,2.3,31.9,11.5,56.6,71.0,8.5,58.0,33.5,56.3,2.0,0.6,3.6,3.4,2.1,3.8,10.0,3.6,3.4,18.0,27.0,16.0,49.9,49.5,15.0,50.0,45.0
2008-07-15,1267.38,473.04,917.1,124.08,417.3,15.0,51.9,42.7,65.8,13.6,30.2,5.0,15.9,14.3,37.3,56.2,8.0,0.5,2.8,1.8,28.6,2.3,0.5,2.1,32.6,13.2,54.2,69.8,9.2,58.4,32.4,54.7,1.6,0.6,4.0,2.9,2.2,4.0,10.3,3.9,3.7,16.0,23.0,12.0,50.8,48.4,16.0,52.8,54.7
2008-08-15,1282.83,448.67,834.6,115.96,429.3,16.0,58.5,54.1,65.0,13.5,31.7,5.2,15.9,15.4,30.0,54.8,10.7,1.0,3.4,1.6,32.5,2.5,0.8,2.3,32.7,13.7,53.6,68.7,12.0,62.8,25.2,59.3,1.6,0.4,4.3,3.8,2.7,4.1,11.4,5.1,3.8,16.0,24.0,13.0,50.1,48.6,34.0,52.7,50.2
2008-09-15,1166.36,416.77,877.6,100.64,464.0,17.0,61.4,61.5,61.1,12.6,32.2,4.9,13.9,15.1,26.9,55.2,11.9,0.5,2.3,1.2,29.0,1.5,0.6,2.3,33.4,12.8,53.8,71.0,13.4,65.6,21.0,61.2,1.8,1.1,4.3,2.5,2.3,4.0,10.8,4.3,3.3,17.0,28.0,14.0,47.2,45.1,46.0,49.0,45.4
2008-10-15,968.75,331.79,728.55,67.81,477.3,14.0,38.8,35.7,43.5,9.0,36.6,4.5,19.2,11.1,41.5,54.4,7.3,0.8,2.6,1.2,26.5,1.9,0.6,1.8,37.1,9.4,53.5,69.7,9.6,53.9,36.5,51.2,1.3,0.8,3.4,2.9,2.6,3.7,9.5,3.3,3.2,14.0,19.0,11.0,38.2,32.0,52.0,34.8,33.0
2008-11-15,896.24,310.24,812.65,49.77,527.3,9.0,44.7,46.2,42.3,8.7,37.1,3.8,18.0,13.1,33.7,54.2,9.2,0.3,2.1,1.4,24.5,1.4,0.4,2.0,40.6,10.1,49.3,68.9,11.5,60.2,28.3,57.1,1.3,0.4,3.2,2.7,2.0,3.2,9.1,3.5,2.7,9.0,18.0,7.0,39.0,34.5,37.0,35.2,36.8
